producer_name,farm_or_station,country,region,altitude_masl,credential_type,credential_detail,signature_varieties,signature_processes,flavor_profile,roasters_who_source,direct_sales_url,tier,notes
Benjamin Paz,Finca La Salsa,Honduras,Santa Bárbara,1680-1730,ACE Legend of Excellence,5x CoE winner; 1st place 2022 & 2024,Geisha; SL28; Orange Bourbon; Yellow Typica; K7,Washed,Jasmine; watermelon; lemongrass,Ilustre Specialty Coffee; Third Gen Coffee,https://allianceforcoffeeexcellence.org/legends/,Legend,Mentored 7 producers who reached CoE auction
Juan Diego De La Cerda,Finca El Socorro,Guatemala,Palencia,1850,ACE Legend of Excellence,13x CoE winner; third-generation since 1980,Geisha; Pacamara; Laurina,Washed (hot water fermentation),Fig; orange; raisins; caramel; honey; peach,Orsir International; Valverde Industries,https://allianceforcoffeeexcellence.org/team/diego-de-la-cerda/,Legend,700ha; 400ha preserved forest; hot water fermentation preserves sugars/density
Ernesto Menéndez,Finca Las Brumas,El Salvador,Apaneca-Ilamatepec,,ACE Legend of Excellence,5x CoE winner (1st 2008;2010;2012;2024); coffees used by WBC winners Alejandro Méndez (2011) & Dale Harris (2017),SL28; Pacamara,Anaerobic; washed,Chocolate; liqueur; tropical fruits; long aftertaste,Savaya Coffee; Elixr Coffee; Has Bean,https://allianceforcoffeeexcellence.org/legends/,Legend,Third-generation; 2024 1st place experimental anaerobic SL28
Luiz Paulo Dias Pereira Filho,CarmoCoffees / Sítio Senhor Niquinho / Fazenda Santuário Sul,Brazil,Carmo de Minas; Mantiqueira de Minas,,ACE Legend of Excellence,23x CoE winner; first Brazilian Legend of Excellence; peak score 95.85 (2005),Yellow Bourbon,Natural,Sugar cane; honey; yellow fruits; spices,Beansip Limited; Little City Coffee Roasters,,Legend,Fourth-generation; co-founded CarmoCoffees supporting hundreds of producers
Manuel Antonio Barrantes,Cafetalera Herbazú / Finca Leoncio,Costa Rica,Lourdes de Naranjo,,ACE Legend of Excellence,10x CoE winner; pioneer micro-mill model,San Roque,Washed,Red grapes; vanilla; lime; stone fruits; sugar cane,CHEONIL FNC; MARISSTELLA COFFEE,,Legend,Inspired 200+ micro-mills across Costa Rica; Blue Flag Award
Olman Valladarez,Cafetalera Buenos Aires / Finca Los Alpes,Nicaragua,Nueva Segovia,,ACE Legend of Excellence,14x CoE winner; 1st place 2023 & 2024; world's largest Maracaturra producer,Geisha; Maracaturra,Natural,Jasmine; tartaric grapes; peach; papaya; mango; strawberries,Angelino's; Savaya Coffee,,Legend,10 farms; medical brigades; childcare shelter; anti-child-labor programs
Aguirre Family,Finca El Injerto,Guatemala,Huehuetenango,1500-1920,CoE Repeat Winner,8x 1st place Guatemala CoE; 13 top-five finishes; most decorated farm in CoE history,Pacamara; Geisha; Bourbon; Maragogype,Washed; natural; anaerobic,Brothy; dark fruit; lychee; brown sugar; umami,Stumptown (since 2003); Bird Rock; Elixr; Paradise Roasters; Great Circle,fincaelinjerto.com,CoE Legend,Carbon Neutral certified; own PCA through ACE; sells direct
Peterson Family,Hacienda La Esmeralda,Panama,Boquete; Volcán Barú,1650+,Best of Panama,Swept all 3 major BoP 2025 categories; record 98pts Washed Geisha; 1st place 2004-07;09-10;13;15;17-19;25,Geisha; Laurina,Washed; natural; anaerobic,Jasmine; stone fruit; bergamot; white peach; tea-like,Bean & Bean; PT's Coffee; Corvus; Rosso,https://haciendaesmeralda.com/,CoE Legend,Put Geisha on the map 2004; established 1967
Ovalle/Vides Family,Finca La Bolsa,Guatemala,Huehuetenango,,CoE Repeat Winner,Multiple CoE wins incl. 2025 NW,Pacamara,Anaerobic Natural,Rich fruit complexity,Chuck's Roast,,CoE Repeat,Years of systematic processing experimentation
Jamison Savage,Finca Deborah / Iris Estate / Savage Coffees,Panama,Volcán; Chiriquí,1700-1950,WBC Producer,Grand slam 2024 WBC (top 3 all used his coffee); WBC 2016 winner Berg Wu; 10+ national Brewers Cup champions; 2025 US Brewers Cup winner,Geisha; SL-28; Sidra; Pacamara; Bourbon; African Heirloom; Yemen Mocca,Nirvana (N2 macerated natural); Ellipse (N2 macerated washed); Terroir (classic washed); carbonic maceration,Extreme clarity; terroir florals; biodynamic; solar-powered,Savage Coffees (direct); Project Origin; Archers Coffee; Newbery St.; Dune; Formative,savagecoffees.com,WBC Elite,Pioneer carbonic maceration; 2022 harvest pre-sold; cafe in St. Pete FL
Joseph Brodsky,Ninety Plus Gesha Estates / Barú Estates,Panama,Volcán; Chiriquí,1500-1850,WBC Producer,5 World Brewers Cup Championships won with Ninety Plus coffees in 6 years; pioneered thermolic processing; Ethiopian heirlooms under forest canopy at scale,Geisha; 30+ Ethiopian heirloom varieties,Thermolic; temperature-controlled fermentation; Yuzo (coffee leaf fermentation),Lychee/oolong (Lycello); plum/chocolate (Kambera); sake/citrus (Yuzo),Coffea Circulor; Pirates of Coffee; Gardelli Coffee,ninetypluscoffee.com,WBC Elite,200ha reforested former cattle land; first to grow Ethiopian heirlooms under full canopy in Panama
Wilton Benitez,Granja Paraiso 92 / Finca La Macarena,Colombia,Multiple,,WBC Producer,Coffees used at WBC regularly; pioneer thermal shock + double-anaerobic + UV/ozone,Pink Bourbon; Geisha; Sidra,Thermal shock; double-anaerobic; UV/ozone sterilization,Berry-forward; bubblegum; strawberry blossom; syrupy,JBC (primary US); modcup; 94 Celcius; Standout; MAME,,WBC Elite,Chemical engineer; Pink Bourbon via JBC most accessible
